Feature,rawhide,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20-heisenbug,19-schrodingers,18-spherical,17-beefy,16-verne,15-lovelock,14-laughlin,13-goddard,12-constantine,11-leonidas,10-cambridge,9-sulphur,8-werewolf,7-moonshine,6-zod,5-bordeaux,4-stentz,3-heidelberg,2-tettnang,1-yarrow
Release Date,2023-10-07,2023-04-18,2022-11-15,2022-05-10,2021-11-02,2021-04-27,2020-10-27,2020-04-28,2019-10-29,2019-04-30,2018-10-30,2018-05-01,2017-11-14,2017-07-11,2016-11-22,2016-06-21,2015-11-03,2015-05-26,2014-12-09,2013-12-17,2013-07-02,2013-01-15,2012-05-29,2011-11-08,2011-05-24,2010-11-02,2010-05-25,2009-11-17,2009-06-09,2008-11-25,2008-05-13,2007-11-08,2007-05-31,2006-10-24,2006-03-20,2005-06-13,2004-11-08,2004-05-18,2003-11-05
End Of Life,NA,NA,NA,NA,2022-12,2022-06,2021-11,2021-05,2020-11,2020-05,2019-11,2019-05,2018-12,2018-06,2017-12,2017-08,2016-12,2016-07,2015-12,2015-06,2015-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
Image Size (MB),NA,500-2000,500-2000,500-2300,500-2100,500-2100,500-2000,500-2000,500-1900,500-1900,500-1900,500-1900,500-2400,500-2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,https://fedoraproject.org/wiki/Releases/Rawhide?rd=Rawhide,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/,https://getfedora.org/en/workstation/download/
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical
Default Desktop,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME
Package Management,RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (dnf),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum),RPM (yum)
Release Model,Rolling,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,"Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice",LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,"Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","GOffice, LibreOffice",LibreOffice,LibreOffice,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,"GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","KOffice, OO.o"
Processor Architecture,"aarch64, ppc64le, s390x, x86_64","aarch64, x86_64","aarch64, x86_64","aarch64, armhfp, x86_64","aarch64, armhfp, x86_64","aarch64, armhfp, x86_64","aarch64, armhfp, x86_64","aarch64, armhfp, x86_64","armhfp, x86_64","armhfp, x86_64","armhfp, x86_64","armhfp, x86_64","armhfp, x86_64","armhfp, x86_64","armhfp, i686, x86_64","armhfp, i686, x86_64","armhfp, i686, x86_64","armhfp, i686, x86_64","armhfp, i686, x86_64","armhfp, i686, x86_64","i686, ppc, ppc64, s390x, x86_64","arm, i686, ppc, ppc64, s390x, x86_64","arm, i686, powerpc, s390x, ppc64, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, ppc, x86_64","i386, x86_64","i386, x86_64","i386, x86_64"
Init Software,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV
Journaled File Systems,"Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","Btrfs, ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, ext4, XFS","ext3, XFS","ext3, XFS","ext3, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS","ext3 (supported), JFS, ReiserFS, XFS"
Multilingual,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Asian Language Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in, jp, kr, zh_TW","zh_CN, in jp, kr, zh_TW","zh_CN, jp, kr, zh_TW","zh_CN, jp, kr, zh_TW"
Number of Packages,71308,1853,1782,1743,2755,1694,1705,1658,2518,1620,1613,1597,1569,1533,1486,1453,1451,1458,3020,4075,3957,4174,3357,3118,2944,2769,2451,2400,2253,2221,2072,1983,1629,2243,2208,1807,1656,1623,1466
