Feature,6-LMDEfaye,21.2-victoria,5-LMDEelsie,20.3-una,4-LMDEdebbie,19.3-tricia,18.3-sylvia,17.3-rosa,16-petra,15-olivia,14-nadia,13-maya,12-lisa,11-katya,10-julia,9-isadora,8-helena,7-gloria,6-felicia,5-elyssa,4.0-daryna,3.1-celena,3.0-cassandra,2.2-bianca,2.1-bea,2.0-barbara
Release Date,2023-09-27,2023-07-16,2022-03-20,2022-01-06,2020-03-20,2019-12-18,2017-11-27,2015-12-04,2013-11-30,2013-05-29,2012-11-20,2012-05-23,2011-11-26,2011-05-26,2010-11-12,2010-05-18,2009-11-28,2009-05-26,2008-12-15,2008-06-08,2007-11-15,2007-09-24,2007-05-30,2007-02-21,2006-12-20,2006-11-14
End Of Life,NA,2027-04,2024-07,NA,NA,2023-04,2021-04,2019-04,2014-07,2014-01,2014-05,2017-04,2013-04,2012-10,2012-04,2013-04,2011-04,2010-10,2010-04,2011-04,2009-04,2008-10,2008-10,2008-04,2008-04,2008-04
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
Image Size (MB),2500-2700,2500-2700,1900-2000,1900-2100,1900-2000,1900-2100,1400-1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php,http://www.linuxmint.com/download.php
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical
Default Desktop,Cinnamon,"Cinnamon, MATE, Xfce",Cinnamon,"Cinnamon, MATE, Xfce",Cinnamon,"Cinnamon, MATE, Xfce","Cinnamon, MATE","Cinnamon, MATE","Cinnamon, MATE","Cinnamon, MATE","Cinnamon, MATE","Cinnamon, MATE",GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME
Package Management,"DEB, Flatpak","DEB, Flatpak",DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB
Release Model,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o
Processor Architecture,"i686, x86_64",x86_64,"i686, x86_64",x86_64,"i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i686, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64",i386,i386,i386,i386,i386,i386
Init Software,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,systemd,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart,Upstart
Journaled File Systems,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS"
Multilingual,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"en, es, fr, gr, se, tr","en, es, fr, gr, se, tr","en, es, fr, gr, se, tr","en, es, fr, gr, se, tr",NA,NA
Asian Language Support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Number of Packages,2117,2275,2005,2159,1864,2080,3136,2347,1974,1916,1901,1834,1695,1551,1487,1443,1407,1305,1301,1191,1190,1132,1136,1269,1331,NA
